Category,Price_in_AUD,Rank,,,,,,,,,
Cannabis,2390.28,B,,,,,,,,,
Cannabis,2383.05,A,,,,,,,,,
Cannabis,2286.79,A,,,,,,,,,
Cannabis,2226.45,E,,,,,,,,,
Cannabis,2172.03,C,,,,,,,,,
Cannabis,2124.97,B,,,,,,,,,
Cannabis,2096.42,A,,,,,,,,,
Cannabis,2006.17,B,,,,,,,,,
Benzos,1992.99,D,,,,,,,,,
Benzos,1960.32,B,,,,,,,,,
Benzos,1820.12,C,,,,,,,,,
Benzos,1819.38,C,,,,,,,,,
Benzos,1435.58,E,,,,,,,,,
Benzos,1360.88,B,,,,,,,,,
Benzos,1331.37,A,,,,,,,,,
Benzos,1288.80,B,,,,,,,,,
Benzos,1266.60,C,,,,,,,,,
Benzos,1259.88,A,,,,,,,,,
Benzos,1245.24,A,,,,,,,,,
Benzos,984.47,A,,,,,,,,,
Benzos,886.91,A,,,,,,,,,
Benzos,825.27,B,,,,,,,,,
Benzos,745.56,B,,,,,,,,,
Benzos,294.91,A,,,,,,,,,
Benzos,42.24,A,,,,,,,,,
Benzos,3.98,E,,,,,,,,,
