 Category, Price_in_AUD,Rank,,,,,,,,,
Ecstasy,22081.95,C,,,,,,,,,
Ecstasy,84241.66,F,,,,,,,,,
Ecstasy,84222.99,B,,,,,,,,,
Ecstasy,22130.9,F,,,,,,,,,
Ecstasy,133696.46,D,,,,,,,,,
Ecstasy,19531.05,D,,,,,,,,,
Ecstasy,105958.88,C,,,,,,,,,
Ecstasy,138368.14,D,,,,,,,,,
Ecstasy,76809.15,B,,,,,,,,,
Ecstasy,53590.63,A,,,,,,,,,
Ecstasy,206365,A,,,,,,,,,
Ecstasy,84200.85,C,,,,,,,,,
Ecstasy,36073.68,A,,,,,,,,,
Ecstasy,43238.24,D,,,,,,,,,
Ecstasy,49538.34,A,,,,,,,,,
Ecstasy,57742.26,D,,,,,,,,,
Ecstasy,11432.39,A,,,,,,,,,
Ecstasy,7276.98,A,,,,,,,,,
Ecstasy,19053.98,F,,,,,,,,,
Ecstasy,139593.12,A,,,,,,,,,
Ecstasy,206357.61,A,,,,,,,,,
Ecstasy,205748.08,A,,,,,,,,,
Ecstasy,84482.51,D,,,,,,,,,
Ecstasy,206582.23,D,,,,,,,,,
Ecstasy,2286.79,A,,,,,,,,,
Ecstasy,5241.07,A,,,,,,,,,
Ecstasy,155456.2,C,,,,,,,,,
Ecstasy,206378.34,A,,,,,,,,,
Ecstasy,84418.93,A,,,,,,,,,
Ecstasy,12264.41,A,,,,,,,,,
Ecstasy,253236.84,B,,,,,,,,,
Ecstasy,28949.12,A,,,,,,,,,
Ecstasy,386583.99,F,,,,,,,,,
Ecstasy,33612.75,A,,,,,,,,,
Ecstasy,205272.53,E,,,,,,,,,
Ecstasy,482367.45,A,,,,,,,,,
Ecstasy,93503.34,A,,,,,,,,,
Ecstasy,27542.57,D,,,,,,,,,
Ecstasy,18262.6,B,,,,,,,,,
Ecstasy,13517.03,C,,,,,,,,,
Ecstasy,40643970.63,C,,,,,,,,,
Ecstasy,75169.63,C,,,,,,,,,
Ecstasy,18412.84,A,,,,,,,,,
Ecstasy,69176.17,B,,,,,,,,,
Ecstasy,36025.13,A,,,,,,,,,
Ecstasy,35224.79,D,,,,,,,,,
Ecstasy,18012.68,A,,,,,,,,,
Ecstasy,16811.83,C,,,,,,,,,
Ecstasy,18412.96,A,,,,,,,,,
Ecstasy,36835.11,F,,,,,,,,,
Ecstasy,67647.18,A,,,,,,,,,
Ecstasy,18813.24,A,,,,,,,,,
Ecstasy,66694.15,D,,,,,,,,,
Ecstasy,51120.72,D,,,,,,,,,
Ecstasy,36648.07,A,,,,,,,,,
Ecstasy,61350.8,D,,,,,,,,,
Ecstasy,17314.35,B,,,,,,,,,
Ecstasy,27273.47,A,,,,,,,,,
Ecstasy,68135.32,C,,,,,,,,,
Ecstasy,36025.13,A,,,,,,,,,
Ecstasy,17425.36,A,,,,,,,,,
